technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final;normalized_extrapolations;normalized_risk_points;normalized_torsao_max
Savitzky-Golay;2025-06-13T15:47:20.263455;12,506999;0,050000;2;;;;0,495512;0;0,089794;0,053077;0,159113;0,077126;1,289018;0;0,120452;0,000000;0,000000;0,149034
Savitzky-Golay;2025-06-13T15:47:32.817458;12,553002;0,050000;3;;;;0,517156;0;0,087756;0,054912;0,159113;0,088218;2,635457;0;0,049089;0,000000;0,000000;0,186501
Savitzky-Golay;2025-06-13T15:47:45.310459;12,493002;0,050000;5;;;;1,604093;0;0,000000;0,308409;0,894936;0,150311;4,518575;0;0,000000;0,000000;0,000000;0,250437
Savitzky-Golay;2025-06-13T15:47:57.758626;12,447166;0,050000;7;;;;1,604093;0;0,000000;0,308409;0,894936;0,150311;4,518575;0;0,000000;0,000000;0,000000;0,250437
Savitzky-Golay;2025-06-13T15:48:10.214638;12,456011;0,050000;9;;;;1,604093;0;0,000000;0,308409;0,894936;0,150311;4,518575;0;0,000000;0,000000;0,000000;0,250437
Savitzky-Golay;2025-06-13T15:48:22.627626;12,411991;0,100000;2;;;;4,204681;2;0,270033;0,027128;0,094792;0,028581;1,031515;2;0,086005;0,366681;0,366681;0,142620
Savitzky-Golay;2025-06-13T15:48:35.083629;12,456003;0,100000;3;;;;4,265226;2;0,265586;0,027746;0,094792;0,041879;1,053510;2;0,202339;0,366681;0,366681;0,143159
Savitzky-Golay;2025-06-13T15:48:47.510626;12,426997;0,100000;5;;;;3,153526;1;0,138989;0,039614;0,169298;0,037895;1,643300;0;0,065070;0,270855;0,000000;0,158246
Savitzky-Golay;2025-06-13T15:48:59.868637;12,357011;0,100000;7;;;;0,612850;0;0,088743;0,061724;0,294521;0,098065;1,111920;0;0,012668;0,000000;0,000000;0,144598
Savitzky-Golay;2025-06-13T15:49:12.235626;12,365994;0,100000;9;;;;1,087041;0;0,048487;0,116456;0,548165;0,184224;4,046402;0;0,000540;0,000000;0,000000;0,233130
