technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final;normalized_extrapolations;normalized_risk_points;normalized_torsao_max
Savitzky-Golay;2025-06-13T15:49:24.681631;12,445005;0,150000;2;;;;5,719671;5;0,642811;0,022106;0,066700;0,026196;0,415120;4;0,346246;0,503882;0,469732;0,128199
Savitzky-Golay;2025-06-13T15:49:37.204629;12,521989;0,150000;3;;;;5,636748;5;0,633778;0,022868;0,066700;0,021205;0,911972;4;0,122964;0,503882;0,469732;0,139721
Savitzky-Golay;2025-06-13T15:49:49.605629;12,401001;0,150000;5;;;;4,192372;2;0,240964;0,029231;0,099947;0,038211;1,125510;1;0,134278;0,366681;0,270855;0,144934
Savitzky-Golay;2025-06-13T15:50:02.074632;12,468000;0,150000;7;;;;0,468441;0;0,157598;0,039260;0,183748;0,020511;2,774089;0;0,046041;0,000000;0,000000;0,190744
Savitzky-Golay;2025-06-13T15:50:14.505666;12,429038;0,150000;9;;;;0,526885;0;0,116951;0,049862;0,277029;0,039647;1,127460;0;0,009172;0,000000;0,000000;0,144983
Savitzky-Golay;2025-06-13T15:50:27.037626;12,530962;0,300000;2;;;;11,187226;57;5,117554;0,017977;0,048118;0,012057;0,861982;21;3,014834;0,888821;0,729294;0,138524
Savitzky-Golay;2025-06-13T15:50:39.476626;12,439000;0,300000;3;;;;9,941892;51;4,222553;0,019262;0,047612;0,019361;0,153668;17;0,632570;0,871005;0,695708;0,122468
Savitzky-Golay;2025-06-13T15:50:51.902629;12,425002;0,300000;5;;;;7,241927;13;1,022850;0,021955;0,062874;0,012799;0,163470;9;0,224000;0,653209;0,595285;0,122679
Savitzky-Golay;2025-06-13T15:51:04.422626;12,519998;0,300000;7;;;;5,721939;5;0,502491;0,025998;0,075845;0,046661;0,943440;4;0,272541;0,503882;0,469732;0,140480
Savitzky-Golay;2025-06-13T15:51:16.913628;12,491001;0,300000;9;;;;4,893991;3;0,287902;0,031392;0,152814;0,016324;0,873936;3;0,123714;0,426321;0,426321;0,138810
B-Spline;2025-06-13T15:51:29.446627;12,528996;;2;1;;;1,302504;0;0,008769;0,267194;0,770460;0,055654;3,319794;0;0,000390;0,000000;0,000000;0,208162
B-Spline;2025-06-13T15:51:41.885630;12,438003;;3;1;;;1,776076;0;0,008770;0,219347;0,768140;0,007253;16,116489;0;0,019537;0,000000;0,000000;0,772643
B-Spline;2025-06-13T15:51:54.361627;12,474999;;4;1;;;1,239539;0;0,008769;0,237797;0,656216;0,074123;5,035682;0;0,000446;0,000000;0,000000;0,270347
B-Spline;2025-06-13T15:52:06.760626;12,399000;;5;1;;;1,447477;0;0,008769;0,228096;0,784449;0,128091;5,898127;0;0,000696;0,000000;0,000000;0,305684
B-Spline;2025-06-13T15:52:19.255626;12,493999;;2;5;;;1,009080;0;0,043865;0,119405;0,482346;0,030296;7,346834;0;0,005691;0,000000;0,000000;0,370369
B-Spline;2025-06-13T15:52:31.642627;12,386000;;3;5;;;1,109971;0;0,043840;0,119982;0,583436;0,127873;4,848251;0;0,028195;0,000000;0,000000;0,263016
B-Spline;2025-06-13T15:52:44.081626;12,439000;;4;5;;;0,840239;0;0,043860;0,116569;0,449692;0,117437;1,069334;0;0,021519;0,000000;0,000000;0,143547
B-Spline;2025-06-13T15:52:56.553626;12,472000;;5;5;;;0,699329;0;0,043857;0,106213;0,378458;0,024492;2,523936;0;0,006597;0,000000;0,000000;0,183141
B-Spline;2025-06-13T15:53:09.111627;12,557000;;2;15;;;0,468095;0;0,131676;0,033865;0,132214;0,027193;2,923593;0;0,165633;0,000000;0,000000;0,195402
B-Spline;2025-06-13T15:53:21.582626;12,470999;;3;15;;;0,462880;0;0,131543;0,040331;0,180115;0,013468;1,656540;0;0,143034;0,000000;0,000000;0,158599
B-Spline;2025-06-13T15:53:34.040627;12,458001;;4;15;;;0,440013;0;0,131548;0,036893;0,195177;0,005247;1,113567;0;0,112258;0,000000;0,000000;0,144639
B-Spline;2025-06-13T15:53:46.538627;12,497000;;5;15;;;0,474308;0;0,131574;0,037930;0,179477;0,073481;1,401162;0;0,045902;0,000000;0,000000;0,151901
B-Spline;2025-06-13T15:53:58.998627;12,460000;;2;30;;;4,966548;3;0,263159;0,028061;0,096172;0,048898;4,984369;1;0,250334;0,426321;0,270855;0,268327
B-Spline;2025-06-13T15:54:11.369630;12,370000;;3;30;;;4,075951;2;0,262898;0,028308;0,079050;0,035504;0,937582;0;0,249116;0,366681;0,000000;0,140338
B-Spline;2025-06-13T15:54:23.821627;12,451998;;4;30;;;4,059435;2;0,263233;0,027823;0,076438;0,014910;0,536223;0;0,290492;0,366681;0,000000;0,130931
B-Spline;2025-06-13T15:54:36.245626;12,423999;;5;30;;;4,212969;2;0,263298;0,028315;0,085114;0,042997;1,260676;1;0,199137;0,366681;0,270855;0,148317
B-Spline;2025-06-13T15:54:48.636626;12,391000;;2;35;;;4,143455;2;0,306815;0,028685;0,102352;0,007020;1,791916;0;0,364143;0,366681;0,000000;0,162245
B-Spline;2025-06-13T15:55:01.092626;12,455000;;3;35;;;5,351883;4;0,307043;0,025839;0,072829;0,056811;3,501013;2;0,177102;0,469732;0,366681;0,214199
B-Spline;2025-06-13T15:55:13.466629;12,374003;;4;35;;;3,082490;1;0,307032;0,027884;0,071591;0,005091;0,723375;0;0,258562;0,270855;0,000000;0,135249
B-Spline;2025-06-13T15:55:25.895675;12,428040;;5;35;;;4,224153;2;0,307028;0,026900;0,077311;0,026987;0,830753;2;0,185794;0,366681;0,366681;0,137780
Laplaciana;2025-06-13T15:55:38.416627;12,517958;;;;3;0,050000;1,701944;0;0,017369;0,181818;0,519491;0,135674;19,211632;0;0,000000;0,000000;0,000000;0,863224
Laplaciana;2025-06-13T15:55:50.937627;12,521000;;;;3;0,100000;2,770568;0;0,051879;0,107309;0,290688;1,367383;152,230721;0;0,000000;0,000000;0,000000;1,000000
Laplaciana;2025-06-13T15:56:03.494628;12,556000;;;;3;0,200000;3,136526;1;0,130012;0,047945;0,126201;0,090851;1,326303;0;0,000000;0,270855;0,000000;0,149982
Laplaciana;2025-06-13T15:56:15.922629;12,428001;;;;3;0,300000;3,109223;1;0,215403;0,033462;0,097798;0,109664;0,848895;0;0,000000;0,270855;0,000000;0,138212
Laplaciana;2025-06-13T15:56:28.399626;12,475996;;;;5;0,050000;1,756521;0;0,037497;0,130193;0,367705;0,265909;32,477301;0;0,000000;0,000000;0,000000;0,988964
Laplaciana;2025-06-13T15:56:40.806626;12,406000;;;;5;0,100000;0,556368;0;0,094786;0,065438;0,167636;0,114403;3,050121;0;0,000000;0,000000;0,000000;0,199412
Laplaciana;2025-06-13T15:56:53.202627;12,395000;;;;5;0,200000;3,106249;1;0,208058;0,032797;0,100949;0,099279;1,082543;0;0,000000;0,270855;0,000000;0,143873
Laplaciana;2025-06-13T15:57:05.591627;12,388000;;;;5;0,300000;3,025675;1;0,348206;0,026907;0,093926;0,030557;0,535726;0;0,000000;0,270855;0,000000;0,130919
Laplaciana;2025-06-13T15:57:18.103626;12,510998;;;;7;0,050000;1,576748;0;0,058642;0,098252;0,265251;0,396464;17,279878;0;0,000000;0,000000;0,000000;0,810916
Laplaciana;2025-06-13T15:57:30.605626;12,500999;;;;7;0,100000;3,262803;1;0,133284;0,046107;0,120914;0,222611;1,377649;0;0,000000;0,270855;0,000000;0,151296
Laplaciana;2025-06-13T15:57:42.993627;12,388001;;;;7;0,200000;3,044932;1;0,284576;0,028330;0,096552;0,049051;0,669543;0;0,000000;0,270855;0,000000;0,133995
Laplaciana;2025-06-13T15:57:55.413649;12,419022;;;;7;0,300000;5,515537;5;0,496014;0,024561;0,088101;0,001931;0,458783;2;0,000000;0,503882;0,366681;0,129178
Laplaciana;2025-06-13T15:58:07.847657;12,434008;;;;10;0,050000;1,344864;0;0,089110;0,069338;0,173103;0,148550;24,215536;0;0,000000;0,000000;0,000000;0,944961
Laplaciana;2025-06-13T15:58:20.318657;12,470001;;;;10;0,100000;3,308154;1;0,185985;0,034713;0,105013;0,041397;7,970295;0;0,000000;0,270855;0,000000;0,399886
Laplaciana;2025-06-13T15:58:32.756668;12,437014;;;;10;0,200000;4,176266;2;0,407056;0,025441;0,091077;0,011808;1,599400;2;0,000000;0,366681;0,366681;0,157080
Laplaciana;2025-06-13T15:58:45.273667;12,516998;;;;10;0,300000;6,097474;7;0,750358;0,022784;0,079522;0,000785;0,251182;4;0,000000;0,555990;0,469732;0,124579
Laplaciana;2025-06-13T15:58:57.694666;12,419996;;;;15;0,050000;3,226441;1;0,134957;0,045505;0,118568;0,154140;2,625100;0;0,000000;0,270855;0,000000;0,186187
Laplaciana;2025-06-13T15:59:10.175115;12,480449;;;;15;0,100000;3,059610;1;0,271019;0,028599;0,097757;0,054155;1,065397;0;0,000000;0,270855;0,000000;0,143451
Laplaciana;2025-06-13T15:59:22.599115;12,424000;;;;15;0,200000;5,562231;5;0,639909;0,023315;0,082284;0,007853;0,618004;3;0,000000;0,503882;0,426321;0,132803
Laplaciana;2025-06-13T15:59:35.016114;12,416000;;;;15;0,300000;6,949094;11;1,254488;0,021037;0,069187;0,010129;0,695835;12;0,000000;0,626840;0,640565;0,134606
