technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
Savitzky-Golay;2025-06-05T17:55:47.208219;12,259999;0,050000;2;;;;0,516081;0;0,152480;0,029809;0,101349;0,008851;0,545162;0;0,099166
Savitzky-Golay;2025-06-05T17:55:59.384220;12,174999;0,050000;3;;;;0,445167;0;0,153232;0,030660;0,101349;0,015282;0,406176;0;0,067048
Savitzky-Golay;2025-06-05T17:56:11.566220;12,181000;0,050000;5;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:56:23.697221;12,131001;0,050000;7;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:56:35.888221;12,191000;0,050000;9;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:56:48.049220;12,160999;0,100000;2;;;;0,516081;0;0,152480;0,029809;0,101349;0,008851;0,545162;0;0,099166
Savitzky-Golay;2025-06-05T17:57:00.208282;12,159062;0,100000;3;;;;0,445167;0;0,153232;0,030660;0,101349;0,015282;0,406176;0;0,067048
Savitzky-Golay;2025-06-05T17:57:12.424284;12,215001;0,100000;5;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:57:24.523283;12,098999;0,100000;7;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:57:36.696284;12,172002;0,100000;9;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:57:48.806296;12,109012;0,150000;2;;;;27,014735;5;0,588462;0,021857;0,063384;0,014297;0,174727;3;0,465667
Savitzky-Golay;2025-06-05T17:58:00.964296;12,156999;0,150000;3;;;;26,802537;5;0,563794;0,022516;0,063384;0,000032;0,195397;3;0,079957
Savitzky-Golay;2025-06-05T17:58:13.117295;12,153000;0,150000;5;;;;0,491193;0;0,201120;0,030160;0,088272;0,023673;0,512671;0;0,037614
Savitzky-Golay;2025-06-05T17:58:25.286297;12,168001;0,150000;7;;;;0,543128;0;0,076596;0,046817;0,137790;0,041200;0,436863;0;0,006424
Savitzky-Golay;2025-06-05T17:58:37.440295;12,152999;0,150000;9;;;;1,615393;0;0,000000;0,099527;0,252965;0,038103;2,174337;0;0,000000
Savitzky-Golay;2025-06-05T17:58:49.709297;12,267002;0,300000;2;;;;146,446767;27;4,371163;0,017811;0,048898;0,015004;0,296657;19;2,493589
Savitzky-Golay;2025-06-05T17:59:01.922296;12,212999;0,300000;3;;;;123,306935;23;3,406052;0,019460;0,048270;0,022018;0,070494;15;0,599714
Savitzky-Golay;2025-06-05T17:59:14.130295;12,207999;0,300000;5;;;;36,803689;7;0,753801;0,022436;0,063108;0,001134;0,156448;3;0,079673
Savitzky-Golay;2025-06-05T17:59:26.305296;12,174000;0,300000;7;;;;16,424553;3;0,369515;0,025827;0,068153;0,023385;0,357059;2;0,084989
Savitzky-Golay;2025-06-05T17:59:38.480295;12,174999;0,300000;9;;;;5,322318;1;0,235317;0,030074;0,082964;0,006816;0,268494;0;0,015589
B-Spline;2025-06-05T17:59:50.693332;12,210036;;2;1;;;1,706543;0;0,017547;0,075589;0,283188;0,226065;1,632748;0;0,003837
B-Spline;2025-06-05T18:00:03.027295;12,333963;;3;1;;;0,580793;0;0,017542;0,071305;0,198466;0,038753;0,301698;0;0,019215
B-Spline;2025-06-05T18:00:15.223295;12,196000;;4;1;;;0,925623;0;0,017544;0,073272;0,227583;0,015354;1,031154;0;0,006911
B-Spline;2025-06-05T18:00:27.376295;12,151999;;5;1;;;0,658219;0;0,017538;0,076493;0,191536;0,056609;0,395765;0;0,001682
B-Spline;2025-06-05T18:00:39.573297;12,197002;;2;5;;;0,808342;0;0,087757;0,034504;0,118905;0,013099;1,127938;0;0,042973
B-Spline;2025-06-05T18:00:51.754296;12,180998;;3;5;;;0,978892;0;0,087742;0,035187;0,120754;0,037078;1,371902;0;0,037763
B-Spline;2025-06-05T18:01:03.985295;12,230999;;4;5;;;0,846364;0;0,087738;0,038736;0,123409;0,005777;1,226930;0;0,023382
B-Spline;2025-06-05T18:01:16.103295;12,118000;;5;5;;;0,644489;0;0,087772;0,036385;0,115708;0,006464;0,850838;0;0,017774
B-Spline;2025-06-05T18:01:28.264297;12,161001;;2;15;;;5,616501;1;0,263097;0,029474;0,106837;0,004353;0,512685;0;0,318713
B-Spline;2025-06-05T18:01:40.470297;12,205000;;3;15;;;5,957923;1;0,263088;0,027598;0,087723;0,007256;0,415543;1;0,132823
B-Spline;2025-06-05T18:01:52.596295;12,124999;;4;15;;;6,024648;1;0,263185;0,027771;0,060605;0,005617;0,500758;1;0,241139
B-Spline;2025-06-05T18:02:04.763295;12,166000;;5;15;;;11,376876;2;0,263091;0,025881;0,074865;0,022683;0,314309;2;0,042842
B-Spline;2025-06-05T18:02:16.891296;12,128001;;2;30;;;31,562440;6;0,526517;0,024335;0,063400;0,020679;0,235127;2;0,477594
B-Spline;2025-06-05T18:02:29.212313;12,321016;;3;30;;;43,953742;8;0,526299;0,023332;0,090519;0,014790;0,270650;7;0,198049
B-Spline;2025-06-05T18:02:41.354311;12,140997;;4;30;;;32,374274;6;0,526322;0,024131;0,063386;0,015991;0,162910;4;0,193113
B-Spline;2025-06-05T18:02:53.547310;12,193000;;5;30;;;38,484101;7;0,526297;0,023634;0,063629;0,003838;0,334918;6;0,290878
B-Spline;2025-06-05T18:03:05.724310;12,176000;;2;35;;;37,082738;7;0,614045;0,023239;0,061662;0,026267;0,193007;3;0,528309
