technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
B-Spline;2025-06-05T18:03:17.928310;12,204000;;3;35;;;49,323418;9;0,613975;0,023279;0,092076;0,019189;0,327069;7;0,842948
B-Spline;2025-06-05T18:03:30.156350;12,228039;;4;35;;;32,373383;6;0,614336;0,023799;0,062285;0,005638;0,169380;4;0,212203
B-Spline;2025-06-05T18:03:42.383324;12,226009;;5;35;;;37,964559;7;0,614096;0,023330;0,060555;0,009770;0,319999;5;0,232787
Laplaciana;2025-06-05T18:03:54.552324;12,165999;;;;3;0,050000;1,551794;0;0,037732;0,062607;0,148500;0,075824;2,245319;0;0,000000
Laplaciana;2025-06-05T18:04:06.764325;12,211001;;;;3;0,100000;0,649694;0;0,125097;0,041552;0,095382;0,017545;0,847215;0;0,000000
Laplaciana;2025-06-05T18:04:18.933325;12,169000;;;;3;0,200000;16,592986;3;0,394387;0,026120;0,081589;0,008989;0,803482;2;0,000000
Laplaciana;2025-06-05T18:04:31.113342;12,180017;;;;3;0,300000;32,901149;6;0,816638;0,022319;0,075171;0,003475;0,385452;5;0,000000
Laplaciana;2025-06-05T18:04:43.287343;12,173001;;;;5;0,050000;7,243706;0;0,086849;0,047842;0,108041;0,152365;13,453132;0;0,000000
Laplaciana;2025-06-05T18:04:55.460341;12,172998;;;;5;0,100000;5,718362;1;0,260853;0,030463;0,085104;0,006128;1,067983;0;0,000000
Laplaciana;2025-06-05T18:05:07.641341;12,180000;;;;5;0,200000;27,887285;5;0,786772;0,022208;0,072733;0,011978;0,335007;5;0,000000
Laplaciana;2025-06-05T18:05:19.809342;12,168001;;;;5;0,300000;63,197534;12;1,665517;0,020009;0,064157;0,027479;0,743698;5;0,000000
Laplaciana;2025-06-05T18:05:31.971341;12,160998;;;;7;0,050000;4,550321;0;0,144830;0,039177;0,092646;0,119736;8,250733;0;0,000000
Laplaciana;2025-06-05T18:05:44.143343;12,171001;;;;7;0,100000;21,571628;4;0,413371;0,025711;0,079188;0,015891;0,735799;2;0,000000
Laplaciana;2025-06-05T18:05:56.296341;12,152998;;;;7;0,200000;48,896207;9;1,253743;0,020665;0,066518;0,047581;1,135645;6;0,000000
Laplaciana;2025-06-05T18:06:08.479341;12,182000;;;;7;0,300000;95,473141;18;2,705839;0,018756;0,057420;0,021808;0,128017;10;0,000000
Laplaciana;2025-06-05T18:06:20.684342;12,204001;;;;10;0,050000;5,710152;1;0,241654;0,031520;0,085328;0,005597;1,052848;0;0,000000
Laplaciana;2025-06-05T18:06:32.870343;12,186001;;;;10;0,100000;27,888784;5;0,670219;0,022872;0,072761;0,003318;0,393246;5;0,000000
Laplaciana;2025-06-05T18:06:45.011383;12,141040;;;;10;0,200000;74,567831;14;2,082817;0,019274;0,060076;0,012609;0,471414;8;0,000000
Laplaciana;2025-06-05T18:06:57.169344;12,157961;;;;10;0,300000;147,615802;28;4,567556;0,017561;0,052103;0,022734;0,052705;14;0,000000
Laplaciana;2025-06-05T18:07:09.272342;12,101998;;;;15;0,050000;22,042287;4;0,421669;0,025543;0,079474;0,016414;0,673463;3;0,000000
Laplaciana;2025-06-05T18:07:21.385341;12,111999;;;;15;0,100000;54,376474;9;1,171994;0,020827;0,065983;0,220528;11,421162;6;0,000000
Laplaciana;2025-06-05T18:07:33.542341;12,157000;;;;15;0,200000;131,580778;25;3,760393;0,017894;0,053883;0,019595;0,151759;12;0,000000
Laplaciana;2025-06-05T18:07:45.710343;12,167002;;;;15;0,300000;196,477932;37;8,321899;0,016314;0,047830;0,025446;0,028784;21;0,000000
