technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
Savitzky-Golay;2025-06-05T17:38:10.778723;12,662000;0,050000;2;;;;1,133234;0;0,089794;0,053077;0,159113;0,077126;1,289018;0;0,120452
Savitzky-Golay;2025-06-05T17:38:23.015270;12,236546;0,050000;3;;;;1,796422;0;0,087756;0,054912;0,159113;0,088218;2,635457;0;0,049089
Savitzky-Golay;2025-06-05T17:38:35.329320;12,314050;0,050000;5;;;;4,071663;0;0,000000;0,308409;0,894936;0,150311;4,518575;0;0,000000
Savitzky-Golay;2025-06-05T17:38:47.909617;12,580297;0,050000;7;;;;4,071663;0;0,000000;0,308409;0,894936;0,150311;4,518575;0;0,000000
Savitzky-Golay;2025-06-05T17:39:00.236249;12,326632;0,050000;9;;;;4,071663;0;0,000000;0,308409;0,894936;0,150311;4,518575;0;0,000000
Savitzky-Golay;2025-06-05T17:39:12.820031;12,583782;0,100000;2;;;;11,791973;2;0,270033;0,027128;0,094792;0,028581;1,031515;2;0,086005
Savitzky-Golay;2025-06-05T17:39:25.149031;12,329000;0,100000;3;;;;11,888526;2;0,265586;0,027746;0,094792;0,041879;1,053510;2;0,202339
Savitzky-Golay;2025-06-05T17:39:37.461030;12,311999;0,100000;5;;;;6,192399;1;0,138989;0,039614;0,169298;0,037895;1,643300;0;0,065070
Savitzky-Golay;2025-06-05T17:39:49.668030;12,207000;0,100000;7;;;;1,185266;0;0,088743;0,061724;0,294521;0,098065;1,111920;0;0,012668
Savitzky-Golay;2025-06-05T17:40:01.955031;12,287002;0,100000;9;;;;3,177846;0;0,048487;0,116456;0,548165;0,184224;4,046402;0;0,000540
Savitzky-Golay;2025-06-05T17:40:14.265032;12,310000;0,150000;2;;;;27,608268;5;0,642811;0,022106;0,066700;0,026196;0,415120;4;0,346246
Savitzky-Golay;2025-06-05T17:40:26.520030;12,254999;0,150000;3;;;;27,735692;5;0,633778;0,022868;0,066700;0,021205;0,911972;4;0,122964
Savitzky-Golay;2025-06-05T17:40:38.769032;12,247998;0,150000;5;;;;11,388821;2;0,240964;0,029231;0,099947;0,038211;1,125510;1;0,134278
Savitzky-Golay;2025-06-05T17:40:50.985031;12,214999;0,150000;7;;;;1,729116;0;0,157598;0,039260;0,183748;0,020511;2,774089;0;0,046041
Savitzky-Golay;2025-06-05T17:41:03.268030;12,282999;0,150000;9;;;;1,036058;0;0,116951;0,049862;0,277029;0,039647;1,127460;0;0,009172
Savitzky-Golay;2025-06-05T17:41:15.504030;12,236000;0,300000;2;;;;298,058349;57;5,117554;0,017977;0,048118;0,012057;0,861982;21;3,014834
Savitzky-Golay;2025-06-05T17:41:27.814029;12,310000;0,300000;3;;;;264,440232;51;4,222553;0,019262;0,047612;0,019361;0,153668;17;0,632570
Savitzky-Golay;2025-06-05T17:41:40.148030;12,334001;0,300000;5;;;;69,928401;13;1,022850;0,021955;0,062874;0,012799;0,163470;9;0,224000
Savitzky-Golay;2025-06-05T17:41:52.432030;12,282998;0,300000;7;;;;27,879401;5;0,502491;0,025998;0,075845;0,046661;0,943440;4;0,272541
Savitzky-Golay;2025-06-05T17:42:04.704078;12,272048;0,300000;9;;;;17,275862;3;0,287902;0,031392;0,152814;0,016324;0,873936;3;0,123714
B-Spline;2025-06-05T17:42:17.065078;12,358999;;2;1;;;3,077126;0;0,008769;0,267194;0,770460;0,055654;3,319794;0;0,000390
B-Spline;2025-06-05T17:42:29.373078;12,308001;;3;1;;;9,290230;0;0,008770;0,219347;0,768140;0,007253;16,116489;0;0,019537
B-Spline;2025-06-05T17:42:41.681079;12,307001;;4;1;;;3,798997;0;0,008769;0,237797;0,656216;0,074123;5,035682;0;0,000446
B-Spline;2025-06-05T17:42:53.946078;12,263999;;5;1;;;4,447112;0;0,008769;0,228096;0,784449;0,128091;5,898127;0;0,000696
