technique;timestamp;total_time;window_ratio;order;smooth_factor;iterations;lambda_factor;fitness;extrapolations;mse;curvature_mean;curvature_max;torsao_mean;torsao_max;risk_points;acuracia_final
B-Spline;2025-06-05T17:43:06.154079;12,208001;;2;5;;;4,462397;0;0,043865;0,119405;0,482346;0,030296;7,346834;0;0,005691
B-Spline;2025-06-05T17:43:18.498078;12,342999;;3;5;;;3,521754;0;0,043840;0,119982;0,583436;0,127873;4,848251;0;0,028195
B-Spline;2025-06-05T17:43:30.760078;12,261001;;4;5;;;1,467515;0;0,043860;0,116569;0,449692;0,117437;1,069334;0;0,021519
B-Spline;2025-06-05T17:43:43.073078;12,311999;;5;5;;;1,909521;0;0,043857;0,106213;0,378458;0,024492;2,523936;0;0,006597
B-Spline;2025-06-05T17:43:55.383077;12,309000;;2;15;;;1,812109;0;0,131676;0,033865;0,132214;0,027193;2,923593;0;0,165633
B-Spline;2025-06-05T17:44:07.720090;12,337013;;3;15;;;1,200652;0;0,131543;0,040331;0,180115;0,013468;1,656540;0;0,143034
B-Spline;2025-06-05T17:44:20.027098;12,307008;;4;15;;;0,905522;0;0,131548;0,036893;0,195177;0,005247;1,113567;0;0,112258
B-Spline;2025-06-05T17:44:32.273096;12,244998;;5;15;;;1,138988;0;0,131574;0,037930;0,179477;0,073481;1,401162;0;0,045902
B-Spline;2025-06-05T17:44:44.504097;12,231000;;2;30;;;18,393756;3;0,263159;0,028061;0,096172;0,048898;4,984369;1;0,250334
B-Spline;2025-06-05T17:44:56.757096;12,253000;;3;30;;;10,826313;2;0,262898;0,028308;0,079050;0,035504;0,937582;0;0,249116
B-Spline;2025-06-05T17:45:09.057098;12,299001;;4;30;;;10,601584;2;0,263233;0,027823;0,076438;0,014910;0,536223;0;0,290492
B-Spline;2025-06-05T17:45:21.337098;12,280000;;5;30;;;11,483975;2;0,263298;0,028315;0,085114;0,042997;1,260676;1;0,199137
B-Spline;2025-06-05T17:45:33.604096;12,266998;;2;35;;;11,282473;2;0,306815;0,028685;0,102352;0,007020;1,791916;0;0,364143
B-Spline;2025-06-05T17:45:45.875097;12,270000;;3;35;;;23,107890;4;0,307043;0,025839;0,072829;0,056811;3,501013;2;0,177102
B-Spline;2025-06-05T17:45:58.143098;12,267002;;4;35;;;5,659214;1;0,307032;0,027884;0,071591;0,005091;0,723375;0;0,258562
B-Spline;2025-06-05T17:46:10.420098;12,277000;;5;35;;;11,724061;2;0,307028;0,026900;0,077311;0,026987;0,830753;2;0,185794
Laplaciana;2025-06-05T17:46:22.709098;12,285001;;;;3;0,050000;10,762028;0;0,017369;0,181818;0,519491;0,135674;19,211632;0;0,000000
Laplaciana;2025-06-05T17:46:34.909104;12,200006;;;;3;0,100000;79,360620;0;0,051879;0,107309;0,290688;1,367383;152,230721;0;0,000000
Laplaciana;2025-06-05T17:46:47.163104;12,254001;;;;3;0,200000;6,079945;1;0,130012;0,047945;0,126201;0,090851;1,326303;0;0,000000
Laplaciana;2025-06-05T17:46:59.353104;12,189999;;;;3;0,300000;5,830038;1;0,215403;0,033462;0,097798;0,109664;0,848895;0;0,000000
Laplaciana;2025-06-05T17:47:11.605105;12,252002;;;;5;0,050000;17,402309;0;0,037497;0,130193;0,367705;0,265909;32,477301;0;0,000000
Laplaciana;2025-06-05T17:47:23.851104;12,245999;;;;5;0,100000;2,061858;0;0,094786;0,065438;0,167636;0,114403;3,050121;0;0,000000
Laplaciana;2025-06-05T17:47:36.106105;12,253999;;;;5;0,200000;5,927177;1;0,208058;0,032797;0,100949;0,099279;1,082543;0;0,000000
Laplaciana;2025-06-05T17:47:48.306106;12,199000;;;;5;0,300000;5,511536;1;0,348206;0,026907;0,093926;0,030557;0,535726;0;0,000000
Laplaciana;2025-06-05T17:48:00.648104;12,340998;;;;7;0,050000;9,900486;0;0,058642;0,098252;0,265251;0,396464;17,279878;0;0,000000
Laplaciana;2025-06-05T17:48:12.912105;12,264001;;;;7;0,100000;6,360503;1;0,133284;0,046107;0,120914;0,222611;1,377649;0;0,000000
Laplaciana;2025-06-05T17:48:25.183105;12,270999;;;;7;0,200000;5,614544;1;0,284576;0,028330;0,096552;0,049051;0,669543;0;0,000000
Laplaciana;2025-06-05T17:48:37.480106;12,297001;;;;7;0,300000;26,420078;5;0,496014;0,024561;0,088101;0,001931;0,458783;2;0,000000
Laplaciana;2025-06-05T17:48:49.734104;12,253999;;;;10;0,050000;12,725559;0;0,089110;0,069338;0,173103;0,148550;24,215536;0;0,000000
Laplaciana;2025-06-05T17:49:02.043104;12,307999;;;;10;0,100000;9,260979;1;0,185985;0,034713;0,105013;0,041397;7,970295;0;0,000000
Laplaciana;2025-06-05T17:49:14.263104;12,220000;;;;10;0,200000;12,005981;2;0,407056;0,025441;0,091077;0,011808;1,599400;2;0,000000
Laplaciana;2025-06-05T17:49:26.579105;12,316001;;;;10;0,300000;37,327288;7;0,750358;0,022784;0,079522;0,000785;0,251182;4;0,000000
Laplaciana;2025-06-05T17:49:38.910106;12,331001;;;;15;0,050000;6,843902;1;0,134957;0,045505;0,118568;0,154140;2,625100;0;0,000000
Laplaciana;2025-06-05T17:49:51.173105;12,263000;;;;15;0,100000;5,823065;1;0,271019;0,028599;0,097757;0,054155;1,065397;0;0,000000
Laplaciana;2025-06-05T17:50:03.458104;12,284999;;;;15;0,200000;27,017614;5;0,639909;0,023315;0,082284;0,007853;0,618004;3;0,000000
Laplaciana;2025-06-05T17:50:15.794105;12,336000;;;;15;0,300000;61,604883;11;1,254488;0,021037;0,069187;0,010129;0,695835;12;0,000000
